maskapai,asal,tujuan,tahun,penumpang,harga
country link,JOG,BTH,2017,81,1470065
water asia,BDO,UPG,2014,199,3967142
macan,KNO,BTH,2014,104,1934676
mataram,PKU,PDG,2015,67,1168596
macan,KNO,SRG,2014,180,3545015
macan,KNO,BTH,2015,112,2096156
water asia,CGK,UPG,2015,87,1595914
rajawali,KNO,UPG,2015,114,2149302
water asia,BTO,HLP,2016,127,2421332
water asia,KNO,PDG,2015,108,2024882
water asia,CGK,SRG,2017,70,1234858
country link,KNO,HLP,2015,189,3753221
water asia,PKU,PDG,2017,145,2819131
water asia,KNO,DPS,2015,114,2141533
macan,BTO,DPS,2015,178,3497709
country link,KNO,HLP,2017,68,1186728
country link,BDO,HLP,2017,158,3074390
rajawali,BTO,HLP,2017,157,3059436
mataram,PKU,SRG,2014,84,1527024
macan,JOG,SRG,2017,81,1473704
rajawali,BTO,HLP,2016,174,3417711
rajawali,BDO,HLP,2015,81,1480149
water asia,BTO,SRG,2014,193,3830376
mataram,JOG,HLP,2015,62,1053482
country link,PKU,HLP,2017,106,1992079
country link,JOG,DPS,2016,197,3912107
rajawali,JOG,HLP,2016,92,1707210
country link,BTO,BTH,2014,187,3695079
rajawali,KNO,DPS,2017,161,3145541
rajawali,CGK,HLP,2014,66,1163211
rajawali,JOG,PDG,2017,129,2468881
rajawali,BTO,SRG,2017,172,3380239
macan,BTO,BTH,2016,161,3146550
mataram,CGK,DPS,2015,181,3563693
mataram,PKU,UPG,2017,191,3797178
rajawali,JOG,PDG,2014,72,1272970
rajawali,CGK,BTH,2015,161,3140294
mataram,KNO,PDG,2014,67,1178890
water asia,BDO,BTH,2015,67,1171435
macan,JOG,PDG,2017,60,1004244
macan,PKU,HLP,2015,189,3754147
rajawali,JOG,HLP,2017,142,2734905
mataram,PKU,SRG,2017,92,2456768
water asia,JOG,HLP,2017,143,2757331
mataram,JOG,UPG,2015,194,3845131
country link,PKU,BTH,2017,168,3303474
macan,KNO,BTH,2015,108,2034738
water asia,CGK,BTH,2016,75,1352730
rajawali,BDO,UPG,2014,72,1273044
rajawali,BTO,HLP,2017,133,2545029
rajawali,BDO,PDG,2016,174,3417637
rajawali,BDO,HLP,2015,65,1128570
water asia,BTO,PDG,2017,60,1002164
mataram,KNO,PDG,2016,87,1599476
country link,KNO,PDG,2014,161,3133721
mataram,PKU,SRG,2015,184,3626578
rajawali,CGK,DPS,2015,82,1499486
water asia,CGK,SRG,2017,174,3415293
rajawali,JOG,UPG,2015,196,3909454
rajawali,BTO,SRG,2016,122,2326757
mataram,CGK,SRG,2016,186,3670733
mataram,PKU,DPS,2015,199,3766333
country link,KNO,PDG,2017,75,1359432
rajawali,BDO,UPG,2014,186,3672649
macan,BDO,DPS,2017,135,2585087
mataram,KNO,UPG,2017,167,3267161
macan,BDO,HLP,2017,125,2388781
macan,BDO,PDG,2017,147,2845588
water asia,BTO,DPS,2014,136,2602456
mataram,KNO,DPS,2015,177,3468474
macan,PKU,BTH,2016,130,2494142
mataram,KNO,BTH,2017,90,1654065
mataram,JOG,SRG,2014,78,1399037
mataram,BTO,DPS,2017,125,2383074
macan,JOG,HLP,2016,147,2403367
mataram,BTO,PDG,2015,184,3622310
country link,PKU,HLP,2014,196,3888756
water asia,JOG,UPG,2014,178,3490952
mataram,BDO,HLP,2015,71,1256063
rajawali,BTO,BTH,2015,94,1755990
country link,JOG,SRG,2015,84,1529623
macan,BDO,UPG,2017,186,3672867
water asia,JOG,BTH,2014,111,2079454
rajawali,BTO,DPS,2015,164,3209328
mataram,KNO,PDG,2015,172,3377398
country link,BTO,UPG,2015,149,2887625
water asia,JOG,SRG,2017,165,3230470
country link,CGK,BTH,2014,117,2219924
macan,JOG,BTH,2015,100,1870882
water asia,BDO,BTH,2017,71,1259568
rajawali,CGK,PDG,2016,104,3088940
macan,KNO,BTH,2015,194,3850729
rajawali,JOG,UPG,2017,116,2194810
water asia,CGK,UPG,2016,80,1445888
mataram,CGK,DPS,2016,63,1073172
water asia,BDO,PDG,2015,109,2052263
mataram,KNO,BTH,2015,170,3347477
country link,BDO,BTH,2015,171,3353650
country link,BDO,HLP,2016,161,3135517
macan,BTO,HLP,2015,116,2198369
water asia,CGK,BTH,2017,78,1406971
rajawali,BTO,SRG,2014,188,3718820
rajawali,PKU,HLP,2016,102,1907020
water asia,CGK,HLP,2014,183,3606844
mataram,KNO,HLP,2017,192,3814767
mataram,KNO,DPS,2016,193,3825110
mataram,BDO,DPS,2014,90,1653700
water asia,BDO,PDG,2014,130,2502894
macan,BDO,PDG,2014,180,3542975
country link,JOG,HLP,2014,196,3898050
macan,BDO,HLP,2016,187,3694015
rajawali,BDO,HLP,2015,84,1538068
rajawali,BTO,DPS,2015,60,1005477
country link,CGK,HLP,2014,73,1291265
macan,JOG,UPG,2014,172,3374128
water asia,JOG,BTH,2014,117,2214630
mataram,CGK,UPG,2017,93,1720182
rajawali,CGK,PDG,2014,69,1222212
macan,JOG,UPG,2016,70,1239247
macan,BDO,SRG,2016,190,3776560
rajawali,PKU,BTH,2016,79,1441676
country link,PKU,DPS,2017,76,1367726
country link,KNO,SRG,2015,175,3442447
water asia,PKU,SRG,2017,60,1009514
mataram,KNO,BTH,2016,130,2481413
water asia,BDO,UPG,2017,118,2239835
mataram,KNO,SRG,2015,75,1356727
mataram,JOG,PDG,2014,143,2766024
country link,BTO,BTH,2014,68,3551952
country link,BTO,HLP,2014,141,2718543
mataram,PKU,DPS,2015,185,3640537
mataram,CGK,UPG,2017,187,3706155
rajawali,BTO,PDG,2015,186,3685420
water asia,JOG,BTH,2016,65,1137866
water asia,JOG,UPG,2015,65,1120087
rajawali,KNO,BTH,2014,93,1720023
country link,BDO,DPS,2015,108,2022294
mataram,BDO,PDG,2017,95,1772887
country link,CGK,BTH,2014,178,3499049
rajawali,KNO,HLP,2014,147,2836917
macan,BDO,DPS,2014,120,2286325
rajawali,CGK,BTH,2017,200,3975674
country link,PKU,SRG,2015,69,1213083
water asia,PKU,PDG,2015,146,2830294
rajawali,JOG,DPS,2016,115,2176131
country link,JOG,SRG,2014,177,3470841
country link,KNO,HLP,2015,183,3600080
country link,BDO,DPS,2015,122,2323915
country link,CGK,BTH,2017,63,1075358
macan,PKU,HLP,2016,181,3574387
water asia,PKU,UPG,2016,118,2238451
rajawali,JOG,PDG,2014,167,3264701
macan,BDO,UPG,2016,61,1034925
water asia,BTO,SRG,2016,150,2903429
rajawali,PKU,UPG,2015,102,1893036
water asia,KNO,SRG,2017,197,3931909
macan,JOG,UPG,2016,155,3023240
macan,BTO,DPS,2016,184,3622821
country link,CGK,BTH,2017,180,3551571
country link,JOG,HLP,2015,65,1136856
rajawali,BTO,PDG,2015,106,1981834
water asia,PKU,DPS,2017,110,2058194
macan,BDO,SRG,2016,64,1090634
water asia,JOG,BTH,2014,61,1033540
rajawali,PKU,BTH,2016,127,2422296
rajawali,KNO,DPS,2017,62,1051506
water asia,KNO,DPS,2014,189,3732424
mataram,KNO,PDG,2015,93,1713088
rajawali,BDO,HLP,2016,61,1033934
macan,BTO,PDG,2017,82,1502582
mataram,CGK,PDG,2015,162,3149531
water asia,KNO,HLP,2016,136,2613378
country link,JOG,HLP,2015,177,3481442
rajawali,BDO,DPS,2017,171,3363803
macan,PKU,BTH,2017,168,3304326
water asia,KNO,HLP,2017,114,2139617
mataram,PKU,UPG,2017,94,1757573
rajawali,BTO,PDG,2014,96,1792940
rajawali,BTO,HLP,2015,147,2845373
country link,PKU,PDG,2014,185,3646772
rajawali,JOG,DPS,2014,61,1024131
rajawali,CGK,HLP,2016,104,1934689
mataram,KNO,PDG,2017,141,2718520
macan,PKU,DPS,2016,179,3518494
water asia,JOG,DPS,2016,74,1339317
country link,BTO,PDG,2016,178,3497997
macan,PKU,DPS,2016,122,2326167
macan,BTO,UPG,2015,79,1440735
rajawali,JOG,UPG,2015,153,2969286
rajawali,BTO,HLP,2015,64,1115774
mataram,JOG,PDG,2017,175,3434824
macan,KNO,DPS,2014,187,3688710
rajawali,BDO,SRG,2016,112,2103984
water asia,BTO,SRG,2017,119,2251388
macan,BDO,SRG,2015,184,3625190
water asia,PKU,DPS,2015,159,3088010
mataram,JOG,DPS,2017,178,3490982
rajawali,JOG,DPS,2015,128,2454144
macan,BTO,UPG,2017,196,3891247
macan,CGK,HLP,2014,135,2596577
rajawali,CGK,SRG,2015,126,2410152
country link,PKU,DPS,2017,134,2576476
mataram,KNO,UPG,2015,66,1153433
country link,KNO,DPS,2016,81,1467113
country link,BTO,BTH,2016,87,1595321
mataram,KNO,DPS,2014,176,3453666
mataram,PKU,DPS,2015,77,1389426
country link,CGK,PDG,2015,114,2157258
macan,PKU,BTH,2017,198,3940360
macan,KNO,UPG,2014,126,2414100
water asia,JOG,BTH,2015,131,2512133
macan,KNO,BTH,2014,185,3645379
macan,BTO,PDG,2017,122,2320869
country link,CGK,SRG,2014,186,3661364
macan,KNO,HLP,2016,143,2764513
water asia,JOG,BTH,2017,139,2691174
water asia,BDO,SRG,2015,143,2761899
mataram,BTO,HLP,2015,137,2641129
country link,JOG,BTH,2015,120,2274519
rajawali,BTO,SRG,2014,97,1818423
macan,BTO,DPS,2016,139,2685364
country link,CGK,PDG,2015,188,3712440
water asia,BDO,DPS,2017,169,3323023
water asia,KNO,PDG,2017,68,1191495
macan,BTO,SRG,2016,186,3665970
rajawali,BDO,SRG,2017,148,2865256
mataram,PKU,BTH,2015,119,2267167
country link,PKU,SRG,2017,76,1367219
mataram,BTO,BTH,2014,74,1322541
rajawali,BTO,UPG,2014,71,1256857
water asia,JOG,SRG,2017,132,2535647
mataram,BDO,DPS,2014,176,3462664
rajawali,CGK,SRG,2014,151,2925270
mataram,PKU,PDG,2014,112,2104590
rajawali,KNO,PDG,2017,142,2749702
macan,KNO,BTH,2016,88,1618571
macan,CGK,UPG,2016,110,2075720
mataram,KNO,PDG,2015,62,1055672
water asia,JOG,HLP,2016,158,3076657
country link,BTO,SRG,2017,136,2628550
macan,BTO,UPG,2017,142,2753462
rajawali,CGK,SRG,2015,119,2247279
country link,KNO,HLP,2014,126,2403624
mataram,CGK,BTH,2015,108,2023382
mataram,JOG,HLP,2015,156,3035571
water asia,KNO,UPG,2015,186,3662166
country link,CGK,HLP,2014,178,3493185
rajawali,KNO,BTH,2015,115,2164700
rajawali,BDO,DPS,2014,179,3525231
macan,PKU,UPG,2015,73,1113884
country link,JOG,PDG,2017,62,1038097
macan,BDO,DPS,2015,83,1512651
mataram,CGK,BTH,2015,156,3042510
water asia,KNO,BTH,2014,117,2220166
country link,BDO,SRG,2014,162,3160175
water asia,CGK,HLP,2015,195,3886563
macan,JOG,PDG,2014,100,1856221
macan,BTO,SRG,2014,102,2986229
macan,PKU,UPG,2015,142,2738623
water asia,KNO,SRG,2017,90,1657690
mataram,BTO,HLP,2015,143,2762738
mataram,BDO,HLP,2014,153,2982716
water asia,JOG,PDG,2014,177,3479662
mataram,BTO,SRG,2014,131,2510345
water asia,CGK,UPG,2015,197,3917277
country link,JOG,HLP,2014,78,1399181
macan,PKU,HLP,2015,87,1588074
rajawali,BDO,PDG,2014,98,1821195
rajawali,BDO,BTH,2015,92,1697670
mataram,PKU,SRG,2015,89,1628678
country link,BDO,UPG,2014,116,2200620
country link,JOG,PDG,2017,187,3687785
mataram,PKU,SRG,2014,119,2256018
water asia,JOG,HLP,2015,116,2204275
rajawali,BDO,HLP,2017,72,1086013
country link,BTO,UPG,2014,96,1788816
water asia,JOG,SRG,2017,194,3856507
rajawali,KNO,UPG,2016,141,2715714
country link,PKU,SRG,2017,142,2736898
country link,CGK,HLP,2014,69,1227167
mataram,KNO,SRG,2014,63,1060805
country link,BDO,PDG,2015,79,1432511
macan,BDO,PDG,2015,123,2356504
mataram,PKU,UPG,2015,152,2942847
mataram,BDO,SRG,2015,73,1307546
rajawali,JOG,HLP,2015,65,1120801
mataram,PKU,SRG,2016,193,3825027
mataram,BTO,PDG,2017,182,3592617
rajawali,CGK,SRG,2016,173,3393653
country link,BTO,DPS,2015,163,3187752
country link,BDO,UPG,2017,69,1216724
rajawali,KNO,HLP,2017,83,1523148
rajawali,BTO,UPG,2017,196,3908776
mataram,PKU,UPG,2017,120,2290581
mataram,KNO,BTH,2015,75,1361182
rajawali,JOG,SRG,2015,67,1179468
rajawali,PKU,PDG,2016,167,3257584
country link,BTO,PDG,2017,192,3816429
country link,CGK,UPG,2016,153,2963982
water asia,PKU,DPS,2017,119,2257117
water asia,BDO,BTH,2014,116,2188296
mataram,BDO,DPS,2015,96,1800775
country link,JOG,HLP,2016,77,1384483
country link,JOG,DPS,2017,129,2458918
mataram,PKU,BTH,2016,78,1396494
macan,CGK,UPG,2017,193,3838826
rajawali,CGK,DPS,2016,78,1398151
macan,CGK,UPG,2014,147,2848559
macan,JOG,UPG,2016,167,3257727
macan,KNO,UPG,2015,192,3814769
rajawali,CGK,UPG,2016,131,2504695
mataram,KNO,DPS,2016,192,3819523
macan,BDO,BTH,2017,162,3151467
rajawali,KNO,SRG,2017,150,2914608
mataram,KNO,BTH,2014,110,2076277
water asia,CGK,PDG,2017,156,3034056
rajawali,PKU,PDG,2016,114,2157337
water asia,BTO,HLP,2014,113,2132274
country link,JOG,SRG,2015,72,1274091
country link,CGK,UPG,2017,177,3477020
country link,PKU,SRG,2015,91,1672334
macan,JOG,UPG,2017,178,3496838
country link,BTO,DPS,2017,182,3578084
mataram,KNO,UPG,2015,123,2355852
mataram,CGK,PDG,2016,120,2285954
water asia,BDO,PDG,2017,155,3019521
mataram,BDO,UPG,2016,74,1337217
macan,KNO,HLP,2014,123,2341397
water asia,BDO,UPG,2014,101,1886692
macan,PKU,PDG,2016,179,3536621
country link,PKU,PDG,2014,88,1622778
country link,BTO,SRG,2016,68,1202582
mataram,KNO,DPS,2017,105,1958947
water asia,KNO,DPS,2015,193,3840397
mataram,CGK,UPG,2017,164,3206991
country link,BTO,UPG,2016,165,3219567
macan,KNO,DPS,2014,119,2248462
rajawali,BDO,PDG,2014,98,1833461
water asia,KNO,SRG,2016,179,3510063
rajawali,CGK,HLP,2017,152,2947600
water asia,KNO,DPS,2014,169,3311071
country link,KNO,UPG,2017,152,2954399
country link,PKU,SRG,2014,148,2862006
rajawali,CGK,BTH,2015,196,3893205
mataram,BDO,HLP,2016,196,3902644
macan,JOG,SRG,2016,129,2465946
water asia,CGK,UPG,2016,116,2181252
water asia,KNO,HLP,2015,169,3319255
water asia,BDO,SRG,2017,112,2114949
country link,JOG,BTH,2016,76,1375880
macan,CGK,UPG,2017,191,3791645
mataram,BDO,UPG,2014,147,2845611
macan,KNO,DPS,2016,69,1999312
water asia,BDO,UPG,2016,67,1173846
macan,BDO,HLP,2017,77,1379925
macan,PKU,SRG,2014,97,1809901
water asia,BTO,DPS,2015,154,3002148
mataram,BDO,DPS,2014,154,2994308
water asia,KNO,SRG,2015,88,1606338
mataram,PKU,PDG,2015,141,2727366
macan,BDO,BTH,2014,150,2908485
country link,JOG,HLP,2017,156,3044151
water asia,PKU,PDG,2016,192,3819168
water asia,JOG,DPS,2016,131,2504111
mataram,PKU,BTH,2017,74,1526647
macan,JOG,DPS,2015,181,3571689
mataram,KNO,SRG,2017,117,2215299
country link,KNO,HLP,2015,97,1809432
macan,CGK,DPS,2015,131,2519830
mataram,JOG,SRG,2017,142,2741925
rajawali,CGK,PDG,2015,199,3966526
water asia,KNO,SRG,2016,164,3204778
water asia,JOG,BTH,2016,177,3478800
macan,PKU,SRG,2017,126,2405847
country link,JOG,HLP,2014,184,3629360
water asia,PKU,BTH,2017,196,3892084
country link,JOG,SRG,2015,151,2923471
rajawali,BDO,PDG,2014,135,2599443
rajawali,KNO,PDG,2017,163,3181216
rajawali,JOG,HLP,2015,123,2358451
mataram,PKU,PDG,2015,140,2712811
rajawali,BTO,BTH,2015,153,2977001
mataram,CGK,PDG,2014,111,2084133
rajawali,BTO,UPG,2017,132,2534861
macan,PKU,SRG,2015,69,1211478
macan,JOG,PDG,2016,87,1586387
mataram,BTO,SRG,2017,93,1724439
mataram,KNO,UPG,2015,74,1325216
rajawali,KNO,UPG,2017,73,1309640
macan,BTO,UPG,2015,123,2342858
rajawali,BTO,PDG,2017,166,3233689
water asia,PKU,HLP,2017,61,1025283
water asia,JOG,DPS,2015,103,1933022
water asia,BDO,PDG,2014,178,3497617
country link,CGK,PDG,2016,156,3028167
country link,BDO,PDG,2015,191,3779296
macan,KNO,PDG,2014,118,2224254
water asia,BDO,SRG,2014,192,3809819
country link,KNO,HLP,2016,128,2442300
country link,CGK,SRG,2017,105,1960046
water asia,BTO,PDG,2015,72,1274214
mataram,CGK,DPS,2014,190,3765483
rajawali,KNO,HLP,2014,135,2582782
macan,CGK,PDG,2014,134,2577110
water asia,PKU,SRG,2016,92,1691784
rajawali,BDO,DPS,2014,198,3942536
macan,BDO,SRG,2015,194,3858878
mataram,BDO,BTH,2014,91,1681014
macan,PKU,BTH,2017,60,1018930
water asia,BTO,BTH,2016,191,3789062
rajawali,CGK,PDG,2017,143,2772601
rajawali,JOG,SRG,2015,193,3839063
macan,PKU,HLP,2017,173,3385470
mataram,CGK,PDG,2016,141,2721910
water asia,PKU,HLP,2017,196,3891692
mataram,BDO,DPS,2017,148,2855668
country link,PKU,DPS,2015,191,3788144
water asia,PKU,UPG,2015,89,1629139
rajawali,CGK,UPG,2016,93,1714240
country link,BTO,HLP,2015,168,3298639
macan,KNO,PDG,2016,109,2053349
country link,CGK,UPG,2017,105,1963592
rajawali,PKU,BTH,2014,164,3213340
macan,BTO,DPS,2016,112,2111151
rajawali,CGK,DPS,2015,158,3080663
water asia,BTO,HLP,2014,146,2824266
rajawali,PKU,SRG,2014,151,2929922
rajawali,BDO,BTH,2014,72,1273248
country link,KNO,BTH,2017,167,3258926
macan,KNO,DPS,2015,75,1353500
mataram,KNO,HLP,2016,138,2660813
rajawali,BDO,HLP,2017,121,2318787
country link,PKU,HLP,2014,159,3108503
macan,CGK,PDG,2015,114,2142711
mataram,PKU,SRG,2017,196,3903673
mataram,JOG,HLP,2017,61,1019276
rajawali,KNO,DPS,2016,132,2529114
mataram,CGK,PDG,2015,82,1500677
rajawali,PKU,DPS,2015,119,2256045
country link,BTO,BTH,2016,154,2994088
water asia,JOG,PDG,2016,157,3060905
mataram,JOG,PDG,2017,82,1491360
water asia,KNO,HLP,2017,104,1940630
macan,KNO,SRG,2014,141,2717725
macan,JOG,DPS,2016,148,2858566
macan,KNO,SRG,2016,181,3570452
water asia,KNO,UPG,2015,108,2029826
mataram,JOG,PDG,2017,73,1291220
rajawali,BTO,HLP,2017,83,1523034
macan,BDO,BTH,2014,160,3113792
water asia,CGK,HLP,2014,78,1410341
water asia,PKU,HLP,2014,194,3865743
mataram,CGK,SRG,2014,64,1109258
macan,PKU,DPS,2016,138,2668538
country link,KNO,HLP,2017,170,3333523
water asia,PKU,HLP,2015,192,3819048
water asia,CGK,SRG,2015,70,1241088
country link,KNO,UPG,2017,196,3904022
macan,JOG,DPS,2014,189,3735814
water asia,CGK,PDG,2017,105,1968185
macan,CGK,UPG,2015,150,2899796
mataram,CGK,DPS,2015,181,3568434
rajawali,BDO,BTH,2014,103,1918194
mataram,CGK,SRG,2017,113,2132606
water asia,CGK,SRG,2017,113,2125202
macan,PKU,PDG,2014,152,2960423
mataram,CGK,DPS,2015,137,2632540
water asia,BTO,BTH,2014,170,1866205
macan,PKU,HLP,2015,143,2761803
mataram,BDO,DPS,2017,140,2700736
rajawali,KNO,BTH,2014,166,3239236
country link,KNO,SRG,2017,107,1997935
rajawali,PKU,PDG,2017,127,2435787
mataram,CGK,UPG,2016,160,3131090
mataram,JOG,UPG,2014,91,1673792
water asia,JOG,HLP,2014,86,1577989
rajawali,PKU,HLP,2014,132,2537627
water asia,PKU,PDG,2017,88,1617382
water asia,CGK,PDG,2017,121,2312411
water asia,BTO,HLP,2016,158,3072588
country link,PKU,DPS,2016,114,2138213
country link,KNO,UPG,2014,65,1128641
macan,CGK,HLP,2016,101,1889584
country link,KNO,SRG,2017,114,2138013
macan,JOG,HLP,2017,71,1268187
water asia,BTO,BTH,2017,79,1436403
macan,BTO,UPG,2017,190,3774766
country link,KNO,HLP,2015,71,1246057
water asia,KNO,HLP,2017,183,3597117
mataram,BDO,BTH,2016,173,3404227
macan,JOG,UPG,2016,121,2313382
rajawali,PKU,BTH,2016,154,2996990
rajawali,BDO,DPS,2014,182,3594587
mataram,CGK,UPG,2017,88,1623868
country link,CGK,UPG,2014,114,2154327
rajawali,BTO,SRG,2017,118,2238073
country link,BDO,BTH,2017,80,1452923
country link,PKU,UPG,2016,173,3401987
macan,BDO,BTH,2016,156,3036113
rajawali,BDO,DPS,2015,102,1897559
country link,CGK,DPS,2017,142,2737075
rajawali,BTO,DPS,2017,95,1766350
water asia,JOG,UPG,2017,61,1037568
water asia,BTO,DPS,2014,151,2926040
macan,CGK,UPG,2016,170,3336715
rajawali,PKU,UPG,2016,98,1822647
water asia,BTO,UPG,2017,186,3685363
macan,CGK,DPS,2017,191,3783420
macan,JOG,DPS,2014,169,3309416
macan,BTO,PDG,2015,150,2903593
rajawali,CGK,DPS,2015,167,3270158
macan,BDO,UPG,2014,104,1935695
macan,BDO,PDG,2017,77,1381446
macan,KNO,UPG,2014,167,3282068
macan,BTO,DPS,2014,197,3915244
water asia,CGK,DPS,2015,105,1962257
mataram,BTO,SRG,2015,119,2247920
macan,PKU,DPS,2015,74,1326726
water asia,CGK,BTH,2014,144,2794765
mataram,CGK,SRG,2017,187,3704893
macan,BDO,SRG,2014,87,1587682
macan,JOG,BTH,2015,94,1361679
water asia,JOG,UPG,2015,200,3984810
country link,JOG,PDG,2017,189,3753395
mataram,JOG,SRG,2015,79,1422781
mataram,BDO,SRG,2017,115,2157719
macan,KNO,SRG,2014,166,3247989
rajawali,KNO,DPS,2014,158,3075423
water asia,BTO,DPS,2015,199,3958195
mataram,JOG,HLP,2015,181,3564541
macan,CGK,SRG,2016,123,2355249
rajawali,BTO,UPG,2016,61,1023389
country link,BDO,PDG,2015,73,1297589
macan,CGK,PDG,2015,85,1566463
country link,KNO,PDG,2015,103,1930058
rajawali,CGK,HLP,2017,107,2018332
mataram,BDO,HLP,2015,111,2084202
water asia,KNO,UPG,2017,194,3855405
macan,BDO,PDG,2016,187,3701599
rajawali,KNO,PDG,2014,86,1584624
country link,CGK,SRG,2015,100,1869161
rajawali,KNO,DPS,2016,159,3087249
macan,BDO,DPS,2014,197,3916269
mataram,CGK,PDG,2015,177,3481718
macan,PKU,UPG,2015,196,3891513
country link,KNO,UPG,2014,110,2061430
country link,JOG,PDG,2017,104,1944974
mataram,CGK,HLP,2017,167,3264558
macan,KNO,BTH,2016,135,2584513
water asia,CGK,SRG,2014,71,1268126
macan,KNO,UPG,2014,155,3022609
mataram,PKU,HLP,2016,157,3063869
macan,CGK,PDG,2014,128,2455401
macan,BDO,SRG,2016,113,2118407
water asia,JOG,DPS,2014,82,1492057
country link,CGK,HLP,2015,130,2501077
mataram,BDO,BTH,2014,122,2322893
macan,BTO,HLP,2017,89,1638362
mataram,KNO,PDG,2017,141,2721541
mataram,BDO,HLP,2017,65,1128514
rajawali,BDO,PDG,2016,151,2930661
mataram,CGK,HLP,2016,68,1185742
macan,BTO,SRG,2017,125,2385105
rajawali,KNO,PDG,2015,111,2092357
water asia,JOG,HLP,2017,71,1248688
mataram,CGK,DPS,2016,106,1988050
macan,JOG,BTH,2015,79,1422144
mataram,KNO,SRG,2016,145,2809267
country link,BDO,BTH,2015,124,2365042
water asia,CGK,PDG,2016,102,1902135
country link,BTO,PDG,2015,108,2034923
macan,BTO,PDG,2017,153,2980675
water asia,KNO,SRG,2016,141,2715684
macan,KNO,DPS,2016,85,1561641
rajawali,PKU,PDG,2017,140,2698535
water asia,BTO,SRG,2015,82,1500703
rajawali,BDO,UPG,2015,85,1558416
macan,BTO,UPG,2016,63,1081811
rajawali,BTO,HLP,2014,87,1601991
macan,KNO,PDG,2015,110,2071619
mataram,CGK,PDG,2015,192,3822335
country link,BTO,BTH,2015,198,3943930
water asia,JOG,BTH,2017,113,2123954
macan,PKU,SRG,2014,168,3297372
country link,PKU,HLP,2015,88,1620681
rajawali,CGK,UPG,2016,155,3018213
mataram,BTO,BTH,2017,76,1371017
macan,KNO,PDG,2016,78,1412468
country link,BDO,SRG,2014,96,1796834
water asia,JOG,UPG,2017,110,2063545
water asia,PKU,BTH,2016,147,2852295
mataram,PKU,PDG,2016,112,2107843
country link,BTO,SRG,2014,175,3426553
country link,JOG,HLP,2014,164,3209250
macan,BTO,BTH,2017,191,3798234
rajawali,JOG,DPS,2017,168,3294200
macan,CGK,DPS,2014,82,1499521
rajawali,PKU,PDG,2016,94,1739967
water asia,PKU,BTH,2017,131,2504798
rajawali,CGK,PDG,2017,165,3216252
mataram,PKU,BTH,2015,104,1937564
mataram,BDO,PDG,2016,170,3332936
water asia,PKU,UPG,2014,118,2236217
rajawali,JOG,PDG,2014,74,1339264
mataram,BDO,UPG,2017,136,2608709
mataram,PKU,DPS,2015,129,2466907
water asia,KNO,UPG,2015,125,2396059
country link,BDO,PDG,2016,99,1839803
macan,BTO,UPG,2017,154,2991797
mataram,PKU,HLP,2015,106,1980780
country link,CGK,SRG,2017,128,2443436
rajawali,BTO,UPG,2015,185,3657698
macan,CGK,BTH,2017,190,3761310
rajawali,CGK,SRG,2015,118,2225204
rajawali,KNO,DPS,2015,130,2495268
mataram,PKU,HLP,2017,124,2376915
macan,PKU,PDG,2015,184,3636509
country link,KNO,HLP,2017,85,1548084
country link,JOG,PDG,2016,81,1476456
rajawali,JOG,PDG,2014,80,1456356
macan,JOG,PDG,2014,174,3409631
water asia,PKU,PDG,2014,89,1634365
rajawali,PKU,HLP,2014,92,1691789
macan,BDO,SRG,2015,136,2625055
macan,KNO,HLP,2015,109,2050743
macan,PKU,SRG,2014,112,2101843
mataram,KNO,HLP,2016,176,3460578
macan,BDO,UPG,2014,149,2891723
country link,BTO,PDG,2016,133,2551096
macan,BDO,HLP,2015,189,3751844
water asia,JOG,HLP,2014,143,2760186
country link,PKU,BTH,2014,64,1110919
country link,CGK,UPG,2015,152,2948796
water asia,PKU,SRG,2014,140,2708210
rajawali,BDO,HLP,2017,120,3197019
water asia,BTO,PDG,2014,192,3814122
rajawali,CGK,UPG,2015,109,2046917
country link,BDO,DPS,2016,85,1564136
rajawali,BTO,SRG,2014,64,1105372
water asia,PKU,UPG,2016,133,2555498
rajawali,BTO,PDG,2017,85,1557181
country link,BDO,UPG,2016,194,3851479
water asia,BDO,PDG,2016,150,2896960
rajawali,KNO,UPG,2017,127,2422951
water asia,BDO,SRG,2014,64,1103801
rajawali,BTO,DPS,2017,134,2575634
water asia,KNO,BTH,2016,185,3639890
rajawali,JOG,UPG,2014,121,2303287
water asia,BTO,SRG,2016,166,3242318
mataram,KNO,BTH,2016,84,1539336
mataram,BDO,BTH,2015,178,3504285
country link,BDO,SRG,2014,125,2402374
macan,BDO,DPS,2017,63,1072307
country link,BDO,BTH,2014,99,1849376
macan,KNO,BTH,2014,155,3011908
water asia,BDO,DPS,2016,144,1356250
mataram,PKU,PDG,2014,65,1138260
water asia,CGK,DPS,2016,169,3317019
country link,BTO,UPG,2015,198,3952366
water asia,BTO,SRG,2015,168,3300304
mataram,JOG,HLP,2017,185,2604877
rajawali,PKU,PDG,2016,190,3770651
water asia,JOG,SRG,2016,180,3544753
water asia,KNO,PDG,2016,188,3728073
water asia,BTO,BTH,2014,77,1386554
mataram,PKU,UPG,2016,110,2063988
country link,KNO,PDG,2014,189,3747319
macan,BDO,UPG,2015,167,3278222
water asia,JOG,PDG,2017,145,2802579
mataram,KNO,SRG,2017,167,3282001
mataram,JOG,HLP,2017,123,2353925
